epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.2827,2.05231,3.01918,2.07967,1.29603,0.57344,0.61753,0.58755,0.26732,0.57536,0.59964,0.5698,0.22324,1.92691,2.82067,1.43354,1.23577,0.000660969,0.000660969,0.000660969
2,135.49,1.84903,2.66645,1.287,1.18005,0.71301,0.60471,0.6821,0.35769,0.70733,0.59018,0.6559,0.30512,1.7873,2.74359,1.31199,1.19738,0.00131449,0.00131449,0.00131449
3,188.569,1.76204,2.6034,1.18502,1.16618,0.74327,0.65052,0.72448,0.38714,0.73834,0.63991,0.7072,0.33027,1.7021,2.7626,1.13187,1.1554,0.00195481,0.00195481,0.00195481
4,242.242,1.75696,2.60622,1.18352,1.15836,0.74538,0.68635,0.75913,0.40162,0.73806,0.66193,0.72886,0.33047,1.72434,2.6541,1.10519,1.1768,0.0019406,0.0019406,0.0019406
5,294.702,1.74568,2.56192,1.157,1.14743,0.77169,0.70494,0.77819,0.41955,0.76745,0.67839,0.7448,0.34603,1.66681,2.58321,1.06987,1.14587,0.0019208,0.0019208,0.0019208
6,348.17,1.68138,2.47303,1.09397,1.13307,0.79932,0.69856,0.79283,0.432,0.78872,0.67974,0.76574,0.36516,1.64173,2.6087,1.0345,1.14408,0.001901,0.001901,0.001901
7,402.493,1.69832,2.48536,1.07547,1.12893,0.78947,0.71157,0.79575,0.42727,0.77081,0.69476,0.76851,0.35562,1.64919,2.49051,1.04226,1.13323,0.0018812,0.0018812,0.0018812
8,454.57,1.70969,2.48551,1.08081,1.13496,0.80049,0.70797,0.79743,0.43291,0.79259,0.68395,0.76662,0.35471,1.64905,2.50702,1.03266,1.14474,0.0018614,0.0018614,0.0018614
9,507.954,1.70697,2.45877,1.07201,1.15363,0.76435,0.68895,0.7745,0.39573,0.74207,0.66133,0.73352,0.31272,1.72267,2.54637,1.03744,1.15657,0.0018416,0.0018416,0.0018416
10,561.289,1.69246,2.45964,1.07108,1.11732,0.78354,0.70977,0.79111,0.43302,0.78203,0.68942,0.7677,0.35889,1.6342,2.50862,1.00893,1.13764,0.0018218,0.0018218,0.0018218
11,612.705,1.65361,2.43137,1.03555,1.11423,0.80781,0.72436,0.80568,0.45005,0.79017,0.70854,0.77722,0.37768,1.59844,2.46371,0.97182,1.12545,0.001802,0.001802,0.001802
12,665.742,1.65176,2.41904,1.02543,1.12055,0.78719,0.70412,0.79078,0.42483,0.77287,0.68314,0.75921,0.34148,1.68022,2.49469,1.04548,1.15387,0.0017822,0.0017822,0.0017822
13,718.184,1.66234,2.40758,1.02939,1.13461,0.80849,0.72718,0.81317,0.45765,0.80359,0.71317,0.79068,0.39063,1.62033,2.45431,0.98243,1.13242,0.0017624,0.0017624,0.0017624
14,770.983,1.65292,2.41044,0.99988,1.12725,0.81647,0.74263,0.8236,0.45367,0.8036,0.72298,0.79928,0.38653,1.60309,2.4094,0.9816,1.11663,0.0017426,0.0017426,0.0017426
15,824.606,1.64659,2.39819,0.99741,1.11305,0.80688,0.7444,0.82607,0.4609,0.79739,0.73078,0.80405,0.39449,1.58472,2.40298,0.97,1.11487,0.0017228,0.0017228,0.0017228
16,878.321,1.64443,2.35313,0.97937,1.1123,0.80053,0.71297,0.80397,0.44807,0.79233,0.69572,0.77855,0.36926,1.61743,2.43766,0.96967,1.1283,0.001703,0.001703,0.001703
17,932.027,1.61744,2.35847,0.98215,1.10829,0.79116,0.70657,0.78308,0.43858,0.77627,0.69241,0.76005,0.37538,1.60973,2.43002,0.99849,1.13009,0.0016832,0.0016832,0.0016832
18,984.108,1.63636,2.39406,1.02908,1.12177,0.80502,0.746,0.82967,0.45914,0.79057,0.72178,0.80237,0.3864,1.61834,2.4005,0.95142,1.12728,0.0016634,0.0016634,0.0016634
19,1038.39,1.6375,2.37275,0.96713,1.1047,0.80725,0.72618,0.81294,0.4596,0.79598,0.70777,0.78666,0.384,1.57909,2.38553,0.9438,1.11962,0.0016436,0.0016436,0.0016436
20,1092.57,1.63702,2.37496,0.98438,1.10712,0.80386,0.74651,0.8201,0.46259,0.80249,0.72918,0.80329,0.39687,1.61081,2.40323,0.94175,1.126,0.0016238,0.0016238,0.0016238
21,1146.31,1.59615,2.33032,0.95383,1.09857,0.83727,0.73532,0.83132,0.46003,0.82057,0.71097,0.80107,0.38744,1.59276,2.38856,0.9268,1.12158,0.001604,0.001604,0.001604
22,1199.82,1.65802,2.38204,0.96823,1.11012,0.81512,0.746,0.83063,0.46752,0.80243,0.72191,0.799,0.38945,1.58234,2.39103,0.92601,1.12215,0.0015842,0.0015842,0.0015842
23,1250.1,1.60652,2.33465,0.95007,1.10616,0.82513,0.74019,0.82922,0.46941,0.80477,0.72939,0.80255,0.39619,1.59061,2.39383,0.9246,1.12336,0.0015644,0.0015644,0.0015644
24,1303.21,1.61769,2.326,0.94637,1.10033,0.82853,0.72498,0.82432,0.45493,0.80637,0.70018,0.79088,0.36944,1.62385,2.38905,0.94859,1.12162,0.0015446,0.0015446,0.0015446
25,1356.39,1.58946,2.31476,0.9443,1.09927,0.80901,0.72518,0.80986,0.45116,0.79704,0.70616,0.78409,0.37591,1.62333,2.41613,0.94766,1.13712,0.0015248,0.0015248,0.0015248
26,1408.44,1.59326,2.31757,0.94301,1.09912,0.81646,0.73018,0.82053,0.46586,0.81207,0.71355,0.79906,0.39878,1.56861,2.36263,0.93139,1.11352,0.001505,0.001505,0.001505
27,1461.31,1.59899,2.30882,0.93604,1.0969,0.81739,0.74319,0.82177,0.45973,0.80991,0.73639,0.80756,0.39994,1.61072,2.38788,0.91544,1.123,0.0014852,0.0014852,0.0014852
28,1513.95,1.64261,2.3299,0.95432,1.10483,0.81362,0.74708,0.82971,0.46424,0.80301,0.72658,0.80503,0.39716,1.5773,2.37962,0.92257,1.1142,0.0014654,0.0014654,0.0014654
29,1566.67,1.62519,2.31631,0.93155,1.1005,0.82793,0.73773,0.83211,0.47121,0.81736,0.72078,0.81078,0.40982,1.57068,2.36075,0.91976,1.11158,0.0014456,0.0014456,0.0014456
30,1621.17,1.58252,2.26966,0.90758,1.09734,0.82241,0.7536,0.83617,0.48056,0.81591,0.73499,0.81599,0.41435,1.55468,2.35081,0.90518,1.10672,0.0014258,0.0014258,0.0014258
31,1673.96,1.58542,2.2668,0.90065,1.09298,0.81623,0.74947,0.83598,0.47491,0.82023,0.71938,0.81204,0.39625,1.57544,2.35719,0.89675,1.11077,0.001406,0.001406,0.001406
